900 13.72 17.86 27.90 15.67 16.49 
1000 21.00 23.19 17.65 18.52 25.04 
1100 20.63 20.60 18.52 21.67 20.72 
1200 18.91 17.17 19.08 22.26 17.85 
1300 17.82 21.63 20.04 21.48 17.51 
1400 27.70 21.53 20.48 18.19 20.60 
1500 22.14 20.44 20.45 20.62 25.37 
1600 25.97 20.84 21.46 22.85 23.67 
1700 21.75 25.88 30.38 23.43 22.18 
1800 21.09 24.37 26.51 27.20 25.60 
1900 23.86 23.05 21.42 20.00 22.20 
2000 22.12 24.82 20.32 22.77 23.42 
2100 22.08 27.17 33.32 30.92 26.48 
2200 32.64 41.60 35.77 21.41 26.71 
2300 22.96 28.81 22.29 24.89 23.38 
2400 24.85 22.57 30.34 30.18 24.89 
2500 22.05 27.02 24.56 26.35 25.73 
2600 35.96 23.83 22.70 26.56 25.57 
2700 27.04 25.85 25.05 30.81 24.16 
2800 28.28 22.86 27.45 28.69 22.53 
2900 26.50 25.18 23.78 22.49 26.48 
3000 29.73 23.33 23.67 23.17 28.24 
3100 22.24 29.29 28.71 29.77 23.53 
3200 28.73 29.67 26.63 24.43 29.95 
3300 32.54 25.24 24.86 28.35 30.90 
3400 24.68 23.97 31.70 25.82 23.78 
3500 24.16 27.45 30.39 23.51 25.26 
3600 30.05 27.11 24.12 31.62 28.63 
3700 31.09 23.98 34.17 31.20 24.13 
3800 45.30 43.34 28.99 26.96 29.65 
