restart410 13.92 13.74 17.82 16.43 12.84 
420 15.25 17.39 18.84 12.42 13.72 
430 19.24 15.94 15.15 17.21 18.57 
440 20.85 13.44 14.99 17.24 20.26 
450 15.88 14.63 14.85 18.00 16.15 
460 14.04 17.38 19.60 15.13 15.76 
470 14.64 23.83 17.50 16.22 19.61 
480 18.22 15.76 17.23 15.95 21.16 
490 19.20 14.43 17.63 20.09 18.72 
500 14.72 17.72 15.48 17.02 18.18 
510 22.15 14.61 18.13 15.40 17.31 
520 16.17 18.64 19.26 16.15 16.11 
530 18.34 17.59 21.89 17.14 21.79 
540 24.36 22.51 30.83 24.88 20.42 
550 17.87 24.72 19.70 17.42 19.45 
560 16.97 16.47 16.78 21.82 17.73 
570 19.12 20.12 23.43 17.30 17.51 
580 19.81 17.78 24.08 18.08 18.08 
590 22.40 16.79 16.85 18.19 16.54 
600 21.17 18.86 16.40 18.98 17.60 
610 18.65 20.31 21.63 22.48 27.77 
620 16.69 18.37 20.61 17.88 17.62 
630 18.14 17.89 18.24 16.82 20.11 
640 19.91 19.66 16.50 17.51 19.44 
650 19.98 20.41 14.34 23.54 17.24 
660 21.09 14.70 18.08 18.56 18.99 
670 20.85 17.50 19.26 17.97 17.03 
680 19.61 17.88 18.31 22.58 27.31 
690 21.40 17.24 18.83 21.86 18.09 
700 16.74 18.24 25.20 17.44 26.06 
710 23.98 29.08 23.99 27.76 23.36 
720 18.89 16.59 20.64 19.98 20.69 
730 15.04 17.90 19.52 18.76 16.53 
740 19.73 23.94 23.79 19.55 20.07 
750 20.59 18.58 21.21 21.04 19.79 
760 21.31 20.41 19.15 23.31 21.16 
770 24.35 20.21 19.20 18.72 21.55 
780 22.88 17.97 19.47 18.58 19.66 
790 16.26 22.58 21.07 18.97 17.18 
800 19.96 18.75 19.88 23.46 17.36 
