restartrestart210 15.19 16.62 18.64 11.72 16.86 
220 15.01 16.45 11.07 14.49 16.34 
230 16.51 11.91 14.68 14.47 17.46 
240 15.48 16.11 18.65 18.96 16.39 
250 14.31 16.66 17.17 16.10 16.13 
260 17.39 16.24 16.52 15.75 15.41 
270 15.36 16.62 17.31 17.14 15.20 
280 15.31 24.42 14.71 16.88 17.33 
290 17.46 15.55 14.49 17.33 15.61 
300 20.59 14.68 13.75 17.53 18.85 
310 14.42 15.50 16.11 14.65 15.95 
320 13.73 16.03 13.06 20.55 16.44 
330 17.90 27.95 15.13 21.59 28.92 
340 23.14 24.01 23.96 19.44 18.43 
350 16.34 20.77 19.41 15.00 19.90 
360 16.78 16.62 17.72 18.95 17.57 
370 18.58 17.73 15.76 19.72 15.37 
380 19.71 16.65 15.85 14.97 20.02 
390 15.61 17.27 17.10 18.54 18.07 
400 18.85 24.49 15.32 18.60 16.22 
