7500 31.57 45.94 31.22 30.83 41.59 
8000 50.48 34.29 36.10 36.59 48.76 
8500 39.09 38.95 46.05 40.59 46.80 
9000 35.47 38.01 43.35 37.09 35.07 
9500 42.64 37.82 37.72 46.57 39.46 
10000 39.73 40.82 49.57 41.51 41.98 
10500 47.31 40.31 40.58 46.98 45.23 
11000 37.98 47.29 46.40 37.75 40.75 
11500 43.67 40.88 40.46 48.63 41.32 
12000 52.60 46.21 42.26 69.65 59.07 
12500 59.99 56.31 53.46 43.16 41.22 
13000 52.06 50.09 43.26 54.79 50.50 
13500 51.17 51.62 51.30 50.01 48.22 
14000 44.49 59.41 52.10 47.14 56.05 
14500 51.28 49.69 56.93 51.82 46.04 
15000 56.08 54.67 51.79 60.37 59.12 
15500 55.73 59.70 53.62 54.82 53.95 
16000 58.87 53.83 61.14 57.94 48.86 
16500 59.56 50.47 56.76 54.02 52.64 
17000 53.40 54.33 57.82 58.49 57.83 
17500 53.83 63.44 58.46 57.17 56.04 
18000 56.39 67.05 59.97 59.16 66.27 
18500 72.59 64.20 73.83 56.57 64.44 
19000 53.84 53.42 59.75 56.88 57.05 
19500 57.37 55.91 63.72 63.52 53.67 
20000 62.89 55.95 68.42 59.13 57.70 
20500 66.38 58.75 58.68 64.22 63.75 
21000 60.48 55.29 62.34 60.43 61.81 
21500 62.94 57.48 68.80 77.74 66.32 
22000 61.90 57.92 75.67 60.55 67.46 
22500 65.59 58.76 62.55 58.31 72.46 
23000 70.32 70.75 69.53 72.90 67.04 
23500 69.46 82.35 72.65 74.97 80.88 
24000 80.65 62.65 62.64 71.91 65.72 
24500 62.77 69.26 62.80 68.81 73.61 
25000 66.98 75.41 63.87 68.24 63.75 
25500 73.89 69.96 70.94 72.96 72.52 
26000 64.45 70.52 65.42 77.40 69.26 
26500 72.05 67.46 87.58 65.68 69.68 
27000 70.82 67.16 71.94 83.88 81.02 
27500 82.91 98.98 67.95 79.24 69.41 
28000 75.37 84.88 79.94 91.36 78.83 
28500 99.60 76.35 87.68 86.62 73.38 
29000 65.53 75.25 69.61 75.63 73.96 
29500 92.65 83.82 80.18 69.79 76.05 
30000 80.14 78.33 71.02 71.49 70.73 
