10 9.32 12.31 14.86 12.33 10.69 
20 12.18 14.78 12.47 10.95 11.24 
30 16.65 13.79 12.22 11.19 15.78 
40 17.35 10.47 11.59 11.55 15.40 
50 17.58 11.01 14.55 14.16 12.41 
60 13.00 15.20 13.45 14.07 14.76 
70 13.27 13.06 15.53 12.34 14.26 
80 12.51 16.32 12.53 12.61 13.50 
90 13.68 15.83 13.39 15.18 13.19 
100 15.45 16.47 13.82 15.48 15.28 
110 14.45 13.34 13.13 20.16 15.45 
120 17.27 12.46 14.58 12.93 15.36 
130 12.98 15.15 14.55 16.04 13.78 
140 23.57 21.32 23.32 23.31 26.86 
150 13.76 14.87 12.86 21.59 14.76 
160 19.20 14.58 14.64 13.66 17.35 
170 12.70 16.42 13.39 14.80 12.10 
180 19.09 12.85 16.42 17.07 11.77 
190 14.55 17.42 14.26 14.47 15.40 
200 19.53 16.58 13.48 13.42 14.14 
